_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/016/MEL/93/BBY/TM,Yang Terpuruk,1993,Melodia,50 x 60 cm,Cat minyak di atas kanvas,TANDA MATA I,C13-1,"Corak seni lukis ini seringkali kali disebut sebagai 'Surealisme Yogya'. Melodia adalah salah satu nama penting untuk corak ini. Seperti juga karya-karya lain dalam corak lukis ini, kekuatannya ada pada kepiawaian teknik melukis yang cermat. Dengan teknik realis-fotografis itu, alam dan peristiwa yang terkesan fantastik, khayali, hadir seperti gambaran kenyataan yang akrab dan kita kenal tapi sekaligus jauh dan samar seperti alam mimpi.",/TM-Low/LK016MEL93BBYTM.jpeg,LK_016_MEL_93_BBY_TM.pdf,https://drive.google.com/file/d/1ZS9BFcOT29jdlK9MMwX32O5QgntItpn7/view?usp=drivesdk,
LK/017/ETG/93/BBY/TM,Dua Wanita,1993,Entang Wiharso,70 x 50 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-1,"Ini adalah lukisan karya Entang di awal 90-an. Masih jelas terlihat kecenderungan impresionistik dalam karyanya. Sosok dua wanita itu tidak diraut dengan garis yang nyata tetapi melalui permainan bercak-bercak warna. Dengan cara ini batasan antara sosok dan latar dibiarkan mengabur, menyatu.",/TM-Low/LK017ETG93BBYTM.jpeg,LK_017_ETG_93_BBY_TM.pdf,https://drive.google.com/file/d/1MzIoDouwJatVdAT5YmIERoAt9o7HE_5N/view?usp=drivesdk,
LK/018/PDP/93/BBY/TM,Menunggu,1993,Pupuk DP,65 x 55 cm,Cat air di atas kertas,TANDA MATA I,C03-1,,/TM-Low/LK018PDP93BBYTM.jpeg,LK_018_PDP_93_BBY_TM.pdf,https://drive.google.com/file/d/18qklfwDZ_g6_ipyn2pLsOb5_Obt0uezc/view?usp=drivesdk,
LK/019/BGK/93/BBY/TM,HITAM PUTIH (Nuansa),1993,Bagong Kussudiardja,125 x 125 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-2,,/TM-Low/LK019BGK93BBYTM.jpeg,LK_019_BGK_93_BBY_TM.pdf,https://drive.google.com/file/d/1Sw295X3c-9eWH1eMrezR5rPsKLrN8m8V/view?usp=drivesdk,
LK/020/ACH/94/BBY/TM,Damar Kurung,1994,Ahmad Safii,49 x 39 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-1,,/TM-Low/LK020ACH94BBYTM.jpeg,LK_020_ACH_94_BBY_TM.pdf,https://drive.google.com/file/d/1RAFcaU7mfzhb4hVvKkvjV6_bLuY5v2Lk/view?usp=drivesdk,
LK/021/PRM/94/BBY/TM,"Kartun ""Bill Clinton""",1994,Pramono,47 x 32 cm,Cat air di atas kertas,,C02-2,,/TM-Low/LK021PRM94BBYTM.jpeg,LK_021_PRM_94_BBY_TM.pdf,https://drive.google.com/file/d/1Mq8G-2vLkkVaBTysjH-DMUb9gvd2IKc2/view?usp=drivesdk,
LK/022/HWD/94/BBY/TM,Relief,1994,Heru Widodo (Dhodhot),60 x 70 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-1,,/TM-Low/LK022HWD94BBYTM.jpeg,LK_022_HWD_94_BBY_TM.pdf,https://drive.google.com/file/d/1kvkGfw496wY161YR_M4ssM2aLE-i6YUp/view?usp=drivesdk,
LK/023/LCH/94/BBY/TM,Kesedihan,1994,Lucia Hartini,125 x 125 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-2,,/TM-Low/LK023LCH94BBYTM.jpeg,LK_023_LCH_94_BBY_TM.pdf,https://drive.google.com/file/d/1rl8Pjxhy_CmRoskkF_61WbC_zLHsoSzC/view?usp=drivesdk,
LK/024/GNR/94/BBY/TM,Burung,1994,Gunardi,50 x 45 cm,Cat minyak di atas kanvas,TANDA MATA I,,,/TM-Low/LK024GNR94BBYTM.jpeg,LK_024_GNR_94_BBY_TM.pdf,https://drive.google.com/file/d/1mQUnYphK6iouEH6wFuyaj_4zEA9-YEps/view?usp=drivesdk,
LK/025/WSJ/93/BBY/TM,Dua Wanita,1993,Wied Sendjayani,70 x 40 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-2,"Dua perempuan duduk dengan mata terpejam dan sedikit mendongak ke atas, menggambarkan dua wanita sedang berdoa atau entah melakukan apa saja dalam struktur suasana pesimisme. Tertangkap suasana yang mencekam, meskipun bangunan suasana seperti ini pasti bukan merupakan titik utama penciptaan karyanya.",/TM-Low/LK025WSJ93BBYTM.jpeg,LK_025_WSJ_93_BBY_TM.pdf,https://drive.google.com/file/d/1b3bNuIWJ_ByacUvs3mcWd0gOoRzJwFbi/view?usp=drivesdk,
LK/026/RDW/94/BBY/TM,Sapi dan Burung,1994,Ridi Winarno,50 x 32 cm,Pastel di atas kertas,TANDA MATA I,C03-1,,/TM-Low/LK026RDW94BBYTM.jpeg,LK_026_RDW_94_BBY_TM.pdf,https://drive.google.com/file/d/1pDB0lYtHq8k32G-n7YjCTbQSHxsY-8lj/view?usp=drivesdk,
