_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/028/YPM/88/BBJ/PL,SG_028_YPM_88_BBJ_PL.pdf,https://drive.google.com/file/d/11dlTrzMyRWtCo_T3q3LrVv1x2Idm4imG/view?usp=drivesdk,3 Gereja,1988,Yepromeyba,20 x 24 cm,Grafis,E06-2,/QR/QR-Data-PL/SG-028-YPM-88-BBJ-PL.png
SG/029/YPM/88/BBJ/PL,SG_029_YPM_88_BBJ_PL.pdf,https://drive.google.com/file/d/1QlwEjxKX1WqGOy45wEsguyEX_tytFLeP/view?usp=drivesdk,Mesjid,1988,Yepromeyba,22 x 25 cm,Grafis (etsa),E06-2,/QR/QR-Data-PL/SG-029-YPM-88-BBJ-PL.png
SG/030/SRM/98/BBJ/PL,SG_030_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1Fb3ht2x0xI4wuaZEvRAY6gfLW7eP9Jha/view?usp=drivesdk,Pantai Nelayan,1998,Suromo,37 x 45 cm,Grafis,E09-2,/QR/QR-Data-PL/SG-030-SRM-98-BBJ-PL.png
SG/031/SRM/98/BBJ/PL,SG_031_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1CrdIB3PEq6e-tZFz7rWZ9lU5I9Q3nuH2/view?usp=drivesdk,Dua Wanita,1998,Suromo,48 x 38 cm,Grafis,E11-2,/QR/QR-Data-PL/SG-031-SRM-98-BBJ-PL.png
SG/032/SRM/98/BBJ/PL,SG_032_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1q9zxLAz4d6JT1iNOORYQaMDUJwHoHfhJ/view?usp=drivesdk,Ambil Makan di Irian,1998,Suromo,37 x 45 cm,Grafis,E10-1,/QR/QR-Data-PL/SG-032-SRM-98-BBJ-PL.png
SG/033/SRM/98/BBJ/PL,SG_033_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1H6EBu7jPc7oDVN_6QHW5fPzaTC2id4NT/view?usp=drivesdk,Rakyat Irian Jaya,1998,Suromo,31 x 46 cm,Grafis,E09-2,/QR/QR-Data-PL/SG-033-SRM-98-BBJ-PL.png
SG/034/SRM/98/BBJ/PL,SG_034_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1yRXhxdfEyePRlhvhoTdAmjZQmd3ZZg3O/view?usp=drivesdk,Tarian Remaja,1998,Suromo,28 x 32 cm,Grafis,E09-2,/QR/QR-Data-PL/SG-034-SRM-98-BBJ-PL.png
SG/035/SRM/98/BBJ/PL,SG_035_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1V45A3MLqWFlY8BPAp5teIFQwwzsx_8Rb/view?usp=drivesdk,Patung Primitif,1998,Suromo,48 x 36 cm,Grafis,E03-2,/QR/QR-Data-PL/SG-035-SRM-98-BBJ-PL.png
SG/036/SRM/98/BBJ/PL,SG_036_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1tTffWtCtnqUWClc-MWkhJBe8g4vUOlKm/view?usp=drivesdk,Pasar,1998,Suromo,38 x 46 cm,Grafis,E09-2,/QR/QR-Data-PL/SG-036-SRM-98-BBJ-PL.png
SG/037/SRM/98/BBJ/PL,SG_037_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1GJE3u_6bnZFtbdPUUxLmeSbSt1RBjiFI/view?usp=drivesdk,Antri Beras,1998,Suromo,32 x 40 cm,Plat Cetak Kayu,,/QR/QR-Data-PL/SG-037-SRM-98-BBJ-PL.png
SG/038/SRM/98/BBJ/PL,SG_038_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1XGRd9rgBfCYVSpK-EAheC7hhMNVbAYZh/view?usp=drivesdk,Ambil Makan di Irian,1998,Suromo,37 x 45 cm,Plat Cetak Kayu,,/QR/QR-Data-PL/SG-038-SRM-98-BBJ-PL.png
SG/039/SRM/98/BBJ/PL,SG_039_SRM_98_BBJ_PL.pdf,https://drive.google.com/file/d/1IAtTACMyQXwtokPc9O8Rps_V8xT1hFmk/view?usp=drivesdk,Rakyat Irian Jaya,1998,Suromo,31 x 46 cm,Plat Cetak Kayu,,/QR/QR-Data-PL/SG-039-SRM-98-BBJ-PL.png
SG/040/APY/03/BBJ/TR,SG_040_APY_03_BBJ_TR.pdf,https://drive.google.com/file/d/1-yUeXD7el-6z7qey0_pdDviBzXgqSsfT/view?usp=drivesdk,Manusia Rongsokan,2003,Agus Prasetyo,59 x 89 cm,Intaglio,E11-1,/QR/QR-Data-PL/SG-040-APY-03-BBJ-TR.png
SG/041/AGY/02/BBJ/TR,SG_041_AGY_02_BBJ_TR.pdf,https://drive.google.com/file/d/1TgkgjuAHDUha3XqVibLvr1FVJv9kQsha/view?usp=drivesdk,Renungan dalam Kontradiksi,2003,Agus Yulianto,132 x 250 cm,Hardboard cut,D15-2,/QR/QR-Data-PL/SG-041-AGY-02-BBJ-TR.png
SG/042/SMR/03/BBJ/TR,SG_042_SMR_03_BBJ_TR.pdf,https://drive.google.com/file/d/16ldqGziSPsurbXXCNT2mV2XYxkUUBIk9/view?usp=drivesdk,Mati Tersenyum,2003,Sri Maryanto,45 x 60 cm,Hardboard cut on paper,E07-1,/QR/QR-Data-PL/SG-042-SMR-03-BBJ-TR.png
